celular;data;horario;local;latitude;longitude;tipo_celular;modelo_celular;possui_app_picmoney;data_ultima_compra;ultimo_tipo_cupom;ultimo_valor_capturado;ultimo_tipo_loja;idade;sexo;;�nicos
(11) 98549-4373;22/07/2025;07:30:00;Ponto de Ônibus Pamplona;-23.567.430.342.750.400;-4.664.844.333.528.140;iPhone;iPhone SE;Sim;22/06/2025;Cashback;215.39;mercado express;70;Feminino;;99935
(11) 91137-2716;22/07/2025;12:45:00;Ponto de Ônibus Augusta;-23.558.687.303.969.100;-4.665.888.408.315.560;Android;Xiaomi Redmi Note 11;Não;;;;;63;Masculino;;
(11) 99552-6219;22/07/2025;06:30:00;Shopping Pátio Paulista;-23.570.847.016.535.100;-46.645.781.836.865.100;Android;Xiaomi Redmi Note 11;Não;;;;;50;Outro;;
(11) 94777-4030;22/07/2025;19:00:00;Metrô Consolação;-2.355.617.081.756.250;-4.666.130.627.469.660;Android;Motorola G60;Sim;15/07/2025;Desconto;42.18;outros;69;Masculino;;
(21) 91994-3239;22/07/2025;13:00:00;Esquina Rua da Paz;-2.356.254.630.989.870;-4.664.956.662.319.300;iPhone;iPhone 12;Sim;03/07/2025;Cashback;244.34;restaurante;67;Masculino;;
(11) 91644-9175;22/07/2025;17:45:00;Shopping Pátio Paulista;-23.570.388.410.014.600;-4.664.556.138.035.730;Android;Realme C35;Não;;;;;43;Outro;;
(11) 94559-2684;22/07/2025;12:15:00;MASP;-23.561.531.245.538.800;-4.665.609.027.000.710;iPhone;iPhone 11;Sim;18/07/2025;Produto;255.58;esportivo;52;Feminino;;
(11) 91185-9749;22/07/2025;08:00:00;Shopping Cidade São Paulo;-2.356.305.240.568.520;-46.652.317.302.801.800;Android;Samsung S21;Sim;06/07/2025;Desconto;24.55;farmácia;54;Outro;;
(11) 93681-8897;22/07/2025;10:30:00;Metrô Trianon-Masp;-23.564.332.854.063.000;-466.569.733.716.833;iPhone;iPhone SE;Sim;05/07/2025;Produto;242.05;esportivo;68;Masculino;;
(11) 98616-9774;22/07/2025;16:45:00;Esquina Av. Consolação;-2.355.769.174.074.580;-46.659.635.806.554.900;iPhone;iPhone 13;Sim;07/07/2025;Desconto;76.18;eletrodoméstico;59;Feminino;;
(11) 99292-4906;22/07/2025;07:00:00;Ponto de Ônibus Augusta;-23.558.057.344.416.300;-4.665.895.900.217.050;iPhone;iPhone 12;Não;;;;;31;Feminino;;
(11) 93023-8011;22/07/2025;18:30:00;Ponto de Ônibus Pamplona;-2.356.747.021.144.070;-46.648.567.264.074.300;Android;Samsung Galaxy A52;Não;;;;;67;Outro;;
(11) 98828-7852;22/07/2025;15:45:00;Metrô Trianon-Masp;-2.356.425.189.706.960;-4.665.639.496.418.840;iPhone;iPhone SE;Não;;;;;57;Feminino;;
(11) 96602-8449;22/07/2025;18:00:00;Metrô Trianon-Masp;-2.356.369.028.472.120;-4.665.684.868.381.710;Android;Realme C35;Não;;;;;66;Feminino;;
(11) 94456-4219;22/07/2025;22:00:00;Ponto de Ônibus Augusta;-23.558.516.567.675.600;-46.659.089.973.260.100;Android;Samsung Galaxy A52;Sim;21/07/2025;Desconto;90.08;vestuário;25;Masculino;;
(11) 95895-8425;22/07/2025;10:45:00;Esquina Av. Consolação;-23.557.584.047.814.900;-4.665.976.281.834.890;Android;Realme C35;Sim;02/07/2025;Cashback;94.29;farmácia;29;Outro;;
(11) 94185-4875;22/07/2025;13:00:00;Esquina Rua da Paz;-2.356.276.239.230.900;-4.664.990.670.606.180;Android;Samsung S21;Sim;09/07/2025;Desconto;55.54;restaurante;22;Feminino;;
(11) 94502-6572;22/07/2025;07:00:00;Ponto de Ônibus Pamplona;-23.567.354.352.378.500;-4.664.852.843.023.470;Android;Samsung Galaxy A52;Sim;05/07/2025;Cashback;438.62;restaurante;37;Feminino;;
(11) 92080-7247;22/07/2025;08:00:00;Metrô Trianon-Masp;-23.563.886.386.434.600;-4.665.664.046.963.180;iPhone;iPhone 11;Não;;;;;69;Feminino;;
(11) 98030-6819;22/07/2025;16:00:00;Metrô Consolação;-2.355.552.757.401.570;-4.666.192.244.106.090;Android;Realme C35;Sim;30/06/2025;Desconto;444.44;vestuário;68;Outro;;
(11) 99942-6278;22/07/2025;07:30:00;Esquina Av. Consolação;-23.557.569.755.052.200;-46.660.014.362.628.500;Android;Samsung Galaxy A52;Sim;17/07/2025;Desconto;265.38;mercado express;41;Feminino;;
(11) 98645-6594;22/07/2025;09:30:00;Metrô Brigadeiro;-23.570.372.441.476.800;-4.664.521.619.054.670;iPhone;iPhone 11;Não;;;;;28;Feminino;;
(11) 97868-4970;22/07/2025;12:30:00;Metrô Trianon-Masp;-2.356.422.771.985.080;-4.665.648.035.880.100;Android;Motorola G60;Não;;;;;65;Masculino;;
(11) 91001-3364;22/07/2025;12:00:00;Esquina Rua da Paz;-2.356.264.136.866.920;-4.665.016.361.579.740;iPhone;iPhone 12;Sim;15/07/2025;Cashback;398;móveis;60;Masculino;;
(11) 94306-9065;22/07/2025;07:45:00;Esquina Av. Consolação;-2.355.733.650.284.380;-4.666.032.358.212.910;Android;Xiaomi Redmi Note 11;Sim;01/07/2025;Desconto;395.95;outros;39;Feminino;;
(71) 97776-9042;22/07/2025;19:30:00;Esquina Rua da Paz;-23.562.914.248.813.400;-4.665.007.231.846.000;iPhone;iPhone SE;Sim;04/07/2025;Cashback;430.27;farmácia;22;Feminino;;
(11) 96934-5132;22/07/2025;21:15:00;Shopping Pátio Paulista;-23.570.838.541.353.600;-4.664.593.293.585.890;Android;Realme C35;Não;;;;;61;Feminino;;
(11) 99752-6483;22/07/2025;21:15:00;Metrô Brigadeiro;-23.569.723.313.241.600;-4.664.482.380.523.240;Android;Motorola G60;Sim;26/06/2025;Produto;231.88;restaurante;43;Masculino;;
(11) 94623-1504;22/07/2025;08:15:00;Shopping Cidade São Paulo;-2.356.299.922.715.680;-4.665.208.124.466.790;iPhone;iPhone 14 Pro;Sim;25/06/2025;Cashback;406.86;móveis;21;Feminino;;
(11) 97032-2662;22/07/2025;17:00:00;Metrô Trianon-Masp;-23.563.816.773.135.900;-4.665.709.571.804.170;Android;Samsung Galaxy A52;Sim;11/07/2025;Desconto;310.44;eletrodoméstico;21;Outro;;
(11) 96959-4565;22/07/2025;19:30:00;Ponto de Ônibus Pamplona;-23.567.409.917.608.000;-4.664.860.592.163.990;Android;Samsung S21;Sim;26/06/2025;Cashback;81.59;outros;68;Outro;;
(11) 95166-2615;22/07/2025;14:15:00;Metrô Consolação;-235.559.204.848.492;-46.661.505.917.073.500;Android;Xiaomi Redmi Note 11;Sim;30/06/2025;Desconto;132.74;esportivo;45;Masculino;;
(11) 93815-1176;22/07/2025;09:15:00;Metrô Trianon-Masp;-23.564.411.059.095.900;-46.657.020.221.721.100;iPhone;iPhone 13;Não;;;;;38;Feminino;;
