celular;data;horario;local;latitude;longitude;tipo_celular;modelo_celular;possui_app_picmoney;data_ultima_compra;ultimo_tipo_cupom;ultimo_valor_capturado;ultimo_tipo_loja;idade;sexo
(11) 98549-4373;22/07/2025;07:30:00;Ponto de ônibus Pamplona;-23.567.430.342.750.400;-4.664.844.333.528.140;iPhone;iPhone SE;Sim;22/06/2025;Cashback;215.39;mercado express;70;Feminino
(11) 94777-4030;22/07/2025;19:00:00;Metrô Consolação;-2.355.617.081.756.250;-4.666.130.627.469.660;Android;Motorola G60;Sim;15/07/2025;Desconto;42.18;outros;69;Masculino
(21) 91994-3239;22/07/2025;13:00:00;Esquina Rua da Paz;-2.356.254.630.989.870;-4.664.956.662.319.300;iPhone;iPhone 12;Sim;03/07/2025;Cashback;244.34;restaurante;67;Masculino
(11) 94559-2684;22/07/2025;12:15:00;MASP;-23.561.531.245.538.800;-4.665.609.027.000.710;iPhone;iPhone 11;Sim;18/07/2025;Produto;255.58;esportivo;52;Feminino
(11) 91185-9749;22/07/2025;08:00:00;Shopping Cidade São Paulo;-2.356.305.240.568.520;-46.652.317.302.801.800;Android;Samsung S21;Sim;06/07/2025;Desconto;24.55;farmácia;54;Outro
(11) 93681-8897;22/07/2025;10:30:00;Metrô Trianon-Masp;-23.564.332.854.063.000;-466.569.733.716.833;iPhone;iPhone SE;Sim;05/07/2025;Produto;242.05;esportivo;68;Masculino
(11) 98616-9774;22/07/2025;16:45:00;Esquina Av. Consolação;-2.355.769.174.074.580;-46.659.635.806.554.900;iPhone;iPhone 13;Sim;07/07/2025;Desconto;76.18;eletrodoméstico;59;Feminino
(11) 94456-4219;22/07/2025;22:00:00;Ponto de ônibus Augusta;-23.558.516.567.675.600;-46.659.089.973.260.100;Android;Samsung Galaxy A52;Sim;21/07/2025;Desconto;90.08;vestuário;25;Masculino
(11) 95895-8425;22/07/2025;10:45:00;Esquina Av. Consolação;-23.557.584.047.814.900;-4.665.976.281.834.890;Android;Realme C35;Sim;02/07/2025;Cashback;94.29;farmácia;29;Outro
(11) 94185-4875;22/07/2025;13:00:00;Esquina Rua da Paz;-2.356.276.239.230.900;-4.664.990.670.606.180;Android;Samsung S21;Sim;09/07/2025;Desconto;55.54;restaurante;22;Feminino
(11) 94502-6572;22/07/2025;07:00:00;Ponto de ônibus Pamplona;-23.567.354.352.378.500;-4.664.852.843.023.470;Android;Samsung Galaxy A52;Sim;05/07/2025;Cashback;438.62;restaurante;37;Feminino
(11) 98030-6819;22/07/2025;16:00:00;Metrô Consolação;-2.355.552.757.401.570;-4.666.192.244.106.090;Android;Realme C35;Sim;30/06/2025;Desconto;444.44;vestuário;68;Outro
(11) 99942-6278;22/07/2025;07:30:00;Esquina Av. Consolação;-23.557.569.755.052.200;-46.660.014.362.628.500;Android;Samsung Galaxy A52;Sim;17/07/2025;Desconto;265.38;mercado express;41;Feminino
(11) 91001-3364;22/07/2025;12:00:00;Esquina Rua da Paz;-2.356.264.136.866.920;-4.665.016.361.579.740;iPhone;iPhone 12;Sim;15/07/2025;Cashback;398;móveis;60;Masculino
